Minerals,US_Production,Country,Relationship
Antimony,Limited or Minor Production,China,Competitor
Arsenic,Limited or Minor Production,China,Competitor
Barite,Limited or Minor Production,India,Neutral
Beryllium,Limited or Minor Production,Kazakhstan,Neutral
Bismuth,Limited or Minor Production,China,Competitor
Cerium,Limited or Minor Production,China,Competitor
Cesium,Limited or Minor Production,China,Competitor
Dysprosium,Limited or Minor Production,China,Competitor
Erbium,Limited or Minor Production,China,Competitor
Europium,Limited or Minor Production,China,Competitor
Fluorspar,Limited or Minor Production,Mexico,Ally
Gadolinium,Limited or Minor Production,China,Competitor
Gallium,Limited or Minor Production,Japan,Ally
Germanium,Limited or Minor Production,China,Competitor
Hafnium,Limited or Minor Production,South Africa,Neutral
Holmium,Limited or Minor Production,China,Competitor
Indium,Limited or Minor Production,Republic of Korea,Ally
Iridium,Limited or Minor Production,Russia,Competitor
Lanthanum,Limited or Minor Production,China,Competitor
Lutetium,Limited or Minor Production,China,Competitor
Neodymium,Limited or Minor Production,China,Competitor
Palladium,Limited or Minor Production,Russia,Competitor
Praseodymium,Limited or Minor Production,China,Competitor
Rhodium,Limited or Minor Production,Russia,Competitor
Rubidium,Limited or Minor Production,China,Competitor
Ruthenium,Limited or Minor Production,Russia,Competitor
Samarium,Limited or Minor Production,China,Competitor
Scandium,Limited or Minor Production,China,Competitor
Tellurium,Limited or Minor Production,Philipines,Neutral
Terbium,Limited or Minor Production,China,Competitor
Thulium,Limited or Minor Production,China,Competitor
Tungsten,Limited or Minor Production,China,Competitor
Ytterbium,Limited or Minor Production,China,Competitor
Yttrium,Limited or Minor Production,China,Competitor
