Minerals,US_Production
Antimony,Limited or Minor Production
Arsenic,Limited or Minor Production
Barite,Limited or Minor Production
Beryllium,Limited or Minor Production
Bismuth,Limited or Minor Production
Cerium,Limited or Minor Production
Cesium,Limited or Minor Production
Dysprosium,Limited or Minor Production
Erbium,Limited or Minor Production
Europium,Limited or Minor Production
Fluorspar,Limited or Minor Production
Gadolinium,Limited or Minor Production
Gallium,Limited or Minor Production
Germanium,Limited or Minor Production
Hafnium,Limited or Minor Production
Holmium,Limited or Minor Production
Indium,Limited or Minor Production
Lanthanum,Limited or Minor Production
Lutetium,Limited or Minor Production
Neodymium,Limited or Minor Production
Niobium,Limited or Minor Production
Palladium,Limited or Minor Production
Praseodymium,Limited or Minor Production
Rhodium,Limited or Minor Production
Rubidium,Limited or Minor Production
Ruthenium,Limited or Minor Production
Samarium,Limited or Minor Production
Scandium,Limited or Minor Production
Tellurium,Limited or Minor Production
Thulium,Limited or Minor Production
Ytterbium,Limited or Minor Production
Yttrium,Limited or Minor Production
Iridium,Limited or Minor Production
Terbium,Limited or Minor Production
Tungsten,Limited or Minor Production
Aluminum,Major Producer
Chromium,Major Producer
Cobalt,Major Producer
Graphite ,Major Producer
Lithium,Major Producer
Magnesium,Major Producer
Nickel,Major Producer
Platinum,Major Producer
Tantalum,Major Producer
Tin,Major Producer
Titanium,Major Producer
Vanadium,Major Producer
Zinc,Major Producer
Zirconium,Major Producer
Manganese,Major Producer
